PROCEDIMENTO;HOSPITAL ACCURATA;
   + Pré-Axilas e Braços;2.800,00;3.300,00
   + Pré-Axilas, FI Coxas e Culotes;2.800,00;3.300,00
   + Pré-Axilas, FI Coxas e Braços;2.800,00;3.300,00
   + Pré-Axilas, Culotes e Braços;2.800,00;3.300,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;2.800,00;3.300,00
   + FI Coxas e Culotes;2.800,00;3.300,00
   + FI Coxas e Braços;2.800,00;3.300,00
   + Culotes e Braços;2.800,00;3.300,00
   + FI Coxas, Culotes e Braços;2.800,00;3.300,00
   + Retirada de Fuso Cutâneo do Abdome;3.100,00;3.300,00
Lipoaspiração de Abdome, Flancos e Dorso;3.300,00;3.800,00
   + Pré-Axilas;3.300,00;3.800,00
   + FI Coxas;3.300,00;3.800,00
   + Culotes;3.300,00;3.800,00
   + Braços;3.300,00;3.800,00
   + Pré-Axilas e FI Coxas;3.300,00;3.800,00
   + Pré-Axilas e Culotes;3.300,00;3.800,00
   + Pré-Axilas e Braços;3.300,00;3.800,00
   + Pré-Axilas, FI Coxas e Culotes;3.300,00;3.800,00
   + Pré-Axilas, FI Coxas e Braços;3.300,00;3.800,00
   + Pré-Axilas, Culotes e Braços;3.300,00;3.800,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;3.300,00;3.800,00
   + FI Coxas e Culotes;3.300,00;3.800,00
   + FI Coxas e Braços;3.300,00;3.800,00
   + Culotes e Braços;3.300,00;3.800,00
   + FI Coxas, Culotes e Braços;3.300,00;3.800,00
   + Retirada de Fuso Cutâneo do Abdome;3.600,00;4.100,00
Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;3.600,00;4.100,00
   + Pré-Axilas;3.600,00;4.100,00
   + FI Coxas;3.600,00;4.100,00
   + Culotes;3.600,00;4.100,00
   + Braços;3.900,00;4.100,00
   + Pré-Axilas e FI Coxas;3.600,00;4.100,00
   + Pré-Axilas e Culotes;2.800,00;4.100,00
   + Pré-Axilas e Braços;3.900,00;4.100,00
