PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + Pré-Axilas, FI Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + FI Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + FI Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + FI Coxas, Culotes e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Retirada de Fuso Cutâneo do Abdome;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
Lipoaspiração de Abdome, Flancos e Dorso;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + FI Coxas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Culotes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas e FI Coxas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas e Culotes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + FI Coxas e Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + FI Coxas e Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Culotes e Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + FI Coxas, Culotes e Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Retirada de Fuso Cutâneo do Abdome;23.000,00;20.000,00;3.000,00;23.000,00;20.000,00;3.000,00;23.000,00;20.000,00;3.000,00
Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Pré-Axilas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + FI Coxas;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Braços;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas e FI Coxas;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas e Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas e Braços;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Culotes;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
   + FI Coxas e Culotes;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
   + FI Coxas e Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Culotes e Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + FI Coxas, Culotes e Braços;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
   + Retirada de Fuso Cutâneo do Abdome;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;20.000,00;17.000,00;3.000,00;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00
   + Pré-Axilas;21.000,00;18.000,00;3.000,00;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00
   + FI Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Braços;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e FI Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e Braços;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, FI Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + FI Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + FI Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + FI Coxas, Culotes e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Retirada de Fuso Cutâneo do Abdome;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
Lipoaspiração de Pré-Axilas;7.000,00;5.500,00;1.500,00;9.000,00;7.500,00;1.500,00;11.000,00;9.500,00;1.500,00
Lipoaspiração de Contorno Mamário;10.000,00;8.500,00;1.500,00;12.000,00;10.500,00;1.500,00;14.000,00;12.500,00;1.500,00
Lipoaspiração de Braços;12.000,00;10.000,00;2.000,00;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração de FI Coxas;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração de Culotes;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração de Sumento;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00;18.000,00;16.000,00;2.000,00
Miniabdominoplastia;20.000,00;16.000,00;4.000,00;23.000,00;19.000,00;4.000,00;26.000,00;22.000,00;4.000,00
Miniabdominoplastia e Lipoaspiração de Abdome e Flancos;26.000,00;22.000,00;4.000,00;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00
Miniabdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;31.000,00;26.000,00;5.000,00;34.000,00;30.000,00;4.000,00;37.000,00;32.000,00;5.000,00
Miniabdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;33.000,00;28.000,00;5.000,00;36.000,00;32.000,00;4.000,00;39.000,00;34.000,00;5.000,00
Abdominoplastia;25.000,00;21.000,00;4.000,00;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00
Abdominoplastia e Lipoaspiração de Abdome e Flancos;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + Pré-Axilas;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + FI Coxas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e FI Coxas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, FI Coxas e Culotes;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, FI Coxas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + FI Coxas e Culotes;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + FI Coxas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Culotes e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + FI Coxas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
Abdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;31.000,00;26.000,00;5.000,00;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00
   + Pré-Axilas;32.000,00;27.000,00;5.000,00;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00
   + FI Coxas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Culotes;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Braços;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e FI Coxas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e Culotes;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e Braços;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
