PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
  + Papiloplastia - Redução de Papilas Mamárias;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
Mamoplastia Redutora com Substituição de Implantes;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
  + Lipoaspiração de Pré-Axilas;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00;40.000,00;37.000,00;3.000,00
  + Lipoaspiração de Contorno Mamário;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
  + Papiloplastia - Redução de Papilas Mamárias;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
  + Tratamento Cirúrgico de Contratura Capsular;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00;40.000,00;37.000,00;3.000,00
Retirada Unilateral de Glândulas Mamárias Acessórias;10.000,00;8.000,00;2.000,00;-;-;-;-;-;-
Retirada Bilateral de Glândulas Mamárias Acessórias;17.000,00;15.000,00;2.000,00;-;-;-;-;-;-
Lipoaspiração de Pré-Axilas;7.000,00;5.500,00;1.500,00;9.000,00;7.500,00;1.500,00;11.000,00;9.500,00;1.500,00
Lipoaspiração de Contorno Mamário;10.000,00;8.500,00;1.500,00;12.000,00;10.500,00;1.500,00;14.000,00;12.500,00;1.500,00
Lipoaspiração de Braços;12.000,00;10.000,00;2.000,00;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração de Face Interna das Coxas;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração de Culotes;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração de Sumento;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00;18.000,00;16.000,00;2.000,00
Lipoaspiração de Pré-Axilas e Braços;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00;18.000,00;16.000,00;2.000,00
Lipoaspiração de Abdome;18.000,00;16.000,00;2.000,00;21.000,00;19.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Lipoaspiração de Flancos;18.000,00;16.000,00;2.000,00;21.000,00;19.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Lipoaspiração de Abdome e Flancos;20.000,00;17.000,00;3.000,00;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00
   + Pré-Axilas;20.000,00;17.000,00;3.000,00;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00
   + Face Interna das Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Braços;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Submento;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e Face Interna das Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e Braços;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Pré-Axilas e Submento;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes e Submento;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços e Submento;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Pré-Axilas, Braços e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Face Interna das Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Face Interna das Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Face Interna das Coxas e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Face Interna das Coxas, Culotes e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Face Interna das Coxas, Culotes e Submento;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Face Interna das Coxas, Braços e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Culotes e Submento;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Culotes, Braços e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Braços e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
Lipoaspiração de Abdome, Flancos e Dorso;25.000,00;21.000,00;4.000,00;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00
   + Pré-Axilas;25.000,00;21.000,00;4.000,00;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00
   + Face Interna das Coxas;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Culotes;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Braços;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Submento;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Pré-Axilas e Culotes;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Pré-Axilas e Braços;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Pré-Axilas e Submento;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Culotes e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Braços e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Face Interna das Coxas e Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Face Interna das Coxas e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Face Interna das Coxas e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas, Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Culotes e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Culotes e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Culotes, Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Braços e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + Pré-Axilas;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + Face Interna das Coxas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Culotes e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas e Culotes;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Face Interna das Coxas, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Culotes e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Culotes e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Culotes, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;20.000,00;17.000,00;3.000,00;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00
   + Pré-Axilas;21.000,00;18.000,00;3.000,00;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00
   + Face Interna das Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Braços;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Submento;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas e Face Interna das Coxas;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Pré-Axilas e Culotes;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Pré-Axilas e Braços;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Pré-Axilas e Submento;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes ;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Braços e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Face Interna das Coxas e Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Face Interna das Coxas e Braços;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Face Interna das Coxas e Submento;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Face Interna das Coxas, Culotes e Braços;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Face Interna das Coxas, Culotes e Submento;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Face Interna das Coxas, Braços e Submento;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Culotes e Braços;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
