PROCEDIMENTO;HOSPITAL ACCURATA;
   + Face Interna das Coxas e Culotes;6.000,00;6.900,00
   + Face Interna das Coxas e Braços;6.000,00;6.900,00
   + Face Interna das Coxas e Submento;6.000,00;6.900,00
   + Face Interna das Coxas, Culotes e Braços;6.000,00;6.900,00
   + Face Interna das Coxas, Culotes e Submento;6.000,00;6.900,00
   + Face Interna das Coxas, Braços e Submento;6.000,00;6.900,00
   + Face Interna das Coxas, Culotes, Braços e Submento;6.000,00;7.000,00
   + Culotes e Braços;6.000,00;6.900,00
   + Culotes e Submento;6.000,00;6.900,00
   + Culotes, Braços e Submento;6.000,00;6.900,00
   + Braços e Submento;6.000,00;6.900,00
Abdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;6.300,00;6.800,00
   + Pré-Axilas;6.300,00;6.800,00
   + Face Interna das Coxas;6.300,00;7.000,00
   + Culotes;6.300,00;7.000,00
   + Braços;6.300,00;7.000,00
   + Submento;6.300,00;7.000,00
   + Pré-Axilas e Face Interna das Coxas;6.300,00;7.100,00
   + Pré-Axilas e Culotes;6.300,00;7.100,00
   + Pré-Axilas e Braços;6.300,00;7.100,00
   + Pré-Axilas e Submento;6.300,00;7.100,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;6.300,00;7.200,00
   + Pré-Axilas, Face Interna das Coxas e Braços;6.300,00;7.200,00
   + Pré-Axilas, Face Interna das Coxas e Submento;6.300,00;7.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;6.300,00;7.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;6.300,00;7.200,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;6.300,00;7.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;6.300,00;7.300,00
   + Pré-Axilas, Culotes e Braços;6.300,00;7.200,00
   + Pré-Axilas, Culotes e Submento;6.300,00;7.200,00
   + Pré-Axilas, Culotes, Braços e Submento;6.300,00;7.200,00
   + Pré-Axilas, Braços e Submento;6.300,00;7.200,00
   + Face Interna das Coxas e Culotes;6.300,00;7.200,00
   + Face Interna das Coxas e Braços;6.300,00;7.200,00
   + Face Interna das Coxas e Submento;6.300,00;7.200,00
   + Face Interna das Coxas, Culotes e Braços;6.300,00;7.200,00
   + Face Interna das Coxas, Culotes e Submento;6.300,00;7.200,00
   + Face Interna das Coxas, Braços e Submento;6.300,00;7.200,00
   + Face Interna das Coxas, Culotes, Braços e Submento;6.300,00;7.300,00
   + Culotes e Braços;6.300,00;7.200,00
   + Culotes e Submento;6.300,00;7.200,00
   + Culotes, Braços e Submento;6.300,00;7.200,00
   + Braços e Submento;6.300,00;7.200,00
Abdominoplastia Circunferencial e Lipoaspiração de Abdome, Flancos e Dorso;8.000,00;8.500,00
   + Pré-Axilas;6.800,00;8.500,00
   + Face Interna das Coxas;6.800,00;8.700,00
   + Culotes;6.800,00;8.700,00
   + Braços;6.800,00;8.700,00
   + Submento;6.800,00;8.700,00
   + Pré-Axilas e Face Interna das Coxas;6.800,00;8.800,00
   + Pré-Axilas e Culotes;6.800,00;8.800,00
   + Pré-Axilas e Braços;6.800,00;8.800,00
   + Pré-Axilas e Submento;6.800,00;8.800,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;6.800,00;8.900,00
   + Pré-Axilas, Face Interna das Coxas e Braços;6.800,00;8.900,00
   + Pré-Axilas, Face Interna das Coxas e Submento;6.800,00;8.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;6.800,00;8.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;6.800,00;8.900,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;6.800,00;8.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;6.800,00;9.000,00
   + Pré-Axilas, Culotes e Braços;6.800,00;8.900,00
   + Pré-Axilas, Culotes e Submento;6.800,00;8.900,00
   + Pré-Axilas, Culotes, Braços e Submento;6.800,00;8.900,00
   + Pré-Axilas, Braços e Submento;6.800,00;8.900,00
   + Face Interna das Coxas e Culotes;6.800,00;8.900,00
   + Face Interna das Coxas e Braços;6.800,00;8.900,00
   + Face Interna das Coxas e Submento;6.800,00;8.900,00
   + Face Interna das Coxas, Culotes e Braços;6.800,00;8.900,00
   + Face Interna das Coxas, Culotes e Submento;6.800,00;8.900,00
   + Face Interna das Coxas, Braços e Submento;6.800,00;8.900,00
   + Face Interna das Coxas, Culotes, Braços e Submento;6.800,00;9.000,00
   + Culotes e Braços;6.800,00;8.900,00
   + Culotes e Submento;6.800,00;8.900,00
   + Culotes, Braços e Submento;6.800,00;8.900,00
   + Braços e Submento;6.800,00;8.900,00
Abdominoplastia Circunferencial e Lipoescultura - Lipoaspiração de Abdome Flancos e Dorso e Lipoenxertia Glútea;8.300,00;8.800,00
   + Pré-Axilas;8.300,00;8.800,00
   + Face Interna das Coxas;8.300,00;9.000,00
   + Culotes;8.300,00;9.000,00
   + Braços;8.300,00;9.000,00
   + Submento;8.300,00;9.000,00
   + Pré-Axilas e Face Interna das Coxas;8.300,00;9.100,00
   + Pré-Axilas e Culotes;8.300,00;9.100,00
   + Pré-Axilas e Braços;8.300,00;9.100,00
   + Pré-Axilas e Submento;8.300,00;9.100,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;8.300,00;9.200,00
   + Pré-Axilas, Face Interna das Coxas e Braços;8.300,00;9.200,00
   + Pré-Axilas, Face Interna das Coxas e Submento;8.300,00;9.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;8.300,00;9.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;8.300,00;9.200,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;8.300,00;9.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;8.300,00;9.300,00
   + Pré-Axilas, Culotes e Braços;8.300,00;9.200,00
   + Pré-Axilas, Culotes e Submento;8.300,00;9.200,00
   + Pré-Axilas, Culotes, Braços e Submento;8.300,00;9.200,00
   + Pré-Axilas, Braços e Submento;8.300,00;9.200,00
   + Face Interna das Coxas e Culotes;8.300,00;9.200,00
   + Face Interna das Coxas e Braços;8.300,00;9.200,00
   + Face Interna das Coxas e Submento;8.300,00;9.200,00
   + Face Interna das Coxas, Culotes e Braços;8.300,00;9.200,00
   + Face Interna das Coxas, Culotes e Submento;8.300,00;9.200,00
   + Face Interna das Coxas, Braços e Submento;8.300,00;9.200,00
   + Face Interna das Coxas, Culotes, Braços e Submento;8.300,00;9.300,00
   + Culotes e Braços;8.300,00;9.200,00
   + Culotes e Submento;8.300,00;9.200,00
   + Culotes, Braços e Submento;8.300,00;9.200,00
   + Braços e Submento;8.300,00;9.200,00
Torsoplastia e Lipoaspiração de Dorso;5.500,00;6.000,00
Torsoplastia e Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;5.800,00;6.300,00
Flancoplastia e Lipoaspiração de Abdome e Flancos;3.800,00;4.300,00
Cruroplastia;5.500,00;6.000,00
Braquioplastia;5.500,00;6.000,00
Ninfoplastia;1.800,00;2.000,00
  + Lipoenxertia de Grandes Lábios;2.100,00;2.300,00
Otoplastia;3.800,00;4.200,00
Blefaroplastia Superior com Anestesia Local;1.800,00;-
Blefaroplastia Superior com Sedação;2.800,00;-
Blefaroplastia Inferior;2.800,00;-
Blefaroplastia Superior e Inferior;3.500,00;-
Tratamento Cirúrgico de Cicatriz Pequena com Anestesia Local;800,00;-
Tratamento Cirúrgico de Cicatriz Média com Anestesia Local;1.000,00;-
Tratamento Cirúrgico de Cicatriz Média com Sedação;1.800,00;-
Tratamento Cirúrgico de Cicatriz Grande com Sedação;1.800,00;-
