PROCEDIMENTO;HOSPITAL ACCURATA;
   + Face Interna das Coxas, Culotes e Braços;3.200,00;3.600,00
Lipoaspiração de Pré-Axilas;1.800,00;2.000,00
Lipoaspiração de Contorno Mamário;1.800,00;2.000,00
Lipoaspiração de Braços;3.000,00;2.000,00
Lipoaspiração de FI Coxas;1.800,00;2.000,00
Lipoaspiração de Culotes;1.800,00;2.000,00
Lipoaspiração de Sumento;1.800,00;2.000,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome e Flancos;3.100,00;3.700,00
   + Pré-Axilas;3.100,00;3.700,00
   + Face Interna das Coxas;3.100,00;3.900,00
   + Culotes;3.100,00;3.900,00
   + Braços;3.100,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;3.100,00;3.900,00
   + Pré-Axilas e Culotes;3.100,00;3.900,00
   + Pré-Axilas e Braços;3.100,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.100,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.100,00;4.000,00
   + Pré-Axilas, Culotes e Braços;3.100,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.100,00;4.000,00
   + Face Interna das Coxas e Culotes;3.100,00;4.000,00
   + Face Interna das Coxas e Braços;3.100,00;4.000,00
   + Culotes e Braços;3.100,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;3.100,00;4.000,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome, Flancos e Dorso;3.600,00;4.000,00
   + Pré-Axilas;3.600,00;4.000,00
   + Face Interna das Coxas;3.600,00;4.200,00
   + Culotes;3.600,00;4.200,00
   + Braços;3.600,00;4.300,00
   + Pré-Axilas e Face Interna das Coxas;3.600,00;4.200,00
   + Pré-Axilas e Culotes;3.600,00;4.200,00
   + Pré-Axilas e Braços;3.600,00;4.300,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.600,00;4.300,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.600,00;4.300,00
   + Pré-Axilas, Culotes e Braços;3.600,00;4.300,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.600,00;4.300,00
   + Face Interna das Coxas e Culotes;3.600,00;4.300,00
   + Face Interna das Coxas e Braços;3.600,00;4.300,00
   + Culotes e Braços;3.600,00;4.300,00
   + Face Interna das Coxas, Culotes e Braços;3.600,00;4.300,00
Retirada de Fuso de Pele do Abdome e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;3.800,00;4.200,00
   + Pré-Axilas;3.800,00;4.200,00
   + Face Interna das Coxas;3.800,00;4.400,00
   + Culotes;3.800,00;4.400,00
   + Braços;3.800,00;4.500,00
   + Pré-Axilas e Face Interna das Coxas;3.800,00;4.400,00
   + Pré-Axilas e Culotes;3.800,00;4.400,00
   + Pré-Axilas e Braços;3.800,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.800,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.800,00;4.500,00
   + Pré-Axilas, Culotes e Braços;3.800,00;4.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.800,00;4.500,00
   + Face Interna das Coxas e Culotes;3.800,00;4.500,00
   + Face Interna das Coxas e Braços;3.800,00;4.500,00
   + Culotes e Braços;3.800,00;4.500,00
   + Face Interna das Coxas, Culotes e Braços;3.800,00;4.500,00
Retirada de Fuso de Pele do Abdome e Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;3.400,00;3.700,00
   + Pré-Axilas;3.600,00;3.900,00
   + Face Interna das Coxas;3.600,00;3.900,00
   + Culotes;3.600,00;3.900,00
   + Braços;3.600,00;3.900,00
   + Pré-Axilas e Face Interna das Coxas;3.600,00;3.900,00
   + Pré-Axilas e Culotes;3.600,00;3.900,00
   + Pré-Axilas e Braços;3.600,00;3.900,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;3.700,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;3.700,00;4.000,00
   + Pré-Axilas, Culotes e Braços;3.700,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;3.700,00;4.000,00
   + Face Interna das Coxas e Culotes;3.700,00;4.000,00
   + Face Interna das Coxas e Braços;3.700,00;4.000,00
   + Culotes e Braços;3.700,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;3.700,00;4.000,00
Retirada de Fuso Cutâneo em Abdome Inferior;1.600,00;2.000,00
Miniabdominoplastia;4.500,00;5.000,00
Miniabdominoplastia e Lipoaspiração;4.500,00;5.000,00
   + Pré-Axilas;4.500,00;5.000,00
   + Face Interna das Coxas;4.500,00;5.200,00
   + Culotes;4.500,00;5.200,00
   + Braços;4.500,00;5.300,00
   + Pré-Axilas e Face Interna das Coxas;4.500,00;5.200,00
   + Pré-Axilas e Culotes;4.500,00;5.200,00
   + Pré-Axilas e Braços;4.500,00;5.300,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;4.500,00;5.300,00
   + Pré-Axilas, Face Interna das Coxas e Braços;4.500,00;5.300,00
   + Pré-Axilas, Culotes e Braços;4.500,00;5.300,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;4.500,00;5.300,00
   + Face Interna das Coxas e Culotes;4.500,00;5.300,00
   + Face Interna das Coxas e Braços;4.500,00;5.300,00
   + Culotes e Braços;4.500,00;5.300,00
   + Face Interna das Coxas, Culotes e Braços;4.500,00;5.300,00
Miniabdominoplastia e Lipoaspiração de Abdome e Flancos;5.000,00;5.500,00
   + Pré-Axilas;5.000,00;5.500,00
   + Face Interna das Coxas;5.000,00;5.700,00
   + Culotes;5.000,00;5.700,00
   + Braços;5.000,00;5.800,00
   + Pré-Axilas e Face Interna das Coxas;5.000,00;5.700,00
   + Pré-Axilas e Culotes;5.000,00;5.700,00
   + Pré-Axilas e Braços;5.000,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;5.000,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas e Braços;5.000,00;5.800,00
   + Pré-Axilas, Culotes e Braços;5.000,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;5.000,00;5.800,00
   + Face Interna das Coxas e Culotes;5.000,00;5.800,00
   + Face Interna das Coxas e Braços;5.000,00;5.800,00
   + Culotes e Braços;5.000,00;5.800,00
   + Face Interna das Coxas, Culotes e Braços;5.000,00;5.800,00
Miniabdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;5.500,00;6.000,00
   + Pré-Axilas;5.500,00;6.000,00
   + Face Interna das Coxas;5.500,00;6.200,00
   + Culotes;5.500,00;6.200,00
   + Braços;5.500,00;6.300,00
   + Pré-Axilas e Face Interna das Coxas;5.500,00;6.200,00
   + Pré-Axilas e Culotes;5.500,00;6.200,00
   + Pré-Axilas e Braços;5.500,00;6.300,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;5.500,00;6.300,00
   + Pré-Axilas, Face Interna das Coxas e Braços;5.500,00;6.300,00
   + Pré-Axilas, Culotes e Braços;5.500,00;6.300,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;5.500,00;6.300,00
   + Face Interna das Coxas e Culotes;5.500,00;6.300,00
   + Face Interna das Coxas e Braços;5.500,00;6.300,00
   + Culotes e Braços;5.500,00;6.300,00
   + Face Interna das Coxas, Culotes e Braços;5.500,00;6.300,00
Miniabdominoplastia e Lipoescultura - Lipoaspiração de Abdome Flancos e Dorso e Lipoenxertia Glútea;5.700,00;6.200,00
   + Pré-Axilas;5.700,00;6.200,00
   + Face Interna das Coxas;5.700,00;6.400,00
   + Culotes;5.700,00;6.400,00
   + Braços;5.700,00;6.500,00
   + Pré-Axilas e Face Interna das Coxas;5.700,00;6.400,00
   + Pré-Axilas e Culotes;5.700,00;6.400,00
   + Pré-Axilas e Braços;5.700,00;6.500,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;5.700,00;6.500,00
   + Pré-Axilas, Face Interna das Coxas e Braços;5.700,00;6.500,00
   + Pré-Axilas, Culotes e Braços;5.700,00;6.500,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;5.700,00;6.500,00
   + Face Interna das Coxas e Culotes;5.700,00;6.500,00
   + Face Interna das Coxas e Braços;5.700,00;6.500,00
   + Culotes e Braços;5.700,00;6.500,00
   + Face Interna das Coxas, Culotes e Braços;5.700,00;6.500,00
Abdominoplastia;5.000,00;5.500,00
Abdominoplastia e Lipoaspiração;5.000,00;5.500,00
   + Pré-Axilas;5.000,00;5.500,00
   + Face Interna das Coxas;5.000,00;5.700,00
   + Culotes;5.000,00;5.700,00
   + Braços;5.000,00;5.800,00
   + Pré-Axilas e Face Interna das Coxas;5.000,00;5.700,00
   + Pré-Axilas e Culotes;5.000,00;5.700,00
   + Pré-Axilas e Braços;5.000,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;5.000,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas e Braços;5.000,00;5.800,00
   + Pré-Axilas, Culotes e Braços;5.000,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;5.000,00;5.800,00
   + Face Interna das Coxas e Culotes;5.000,00;5.800,00
   + Face Interna das Coxas e Braços;5.000,00;5.800,00
   + Culotes e Braços;5.000,00;5.800,00
   + Face Interna das Coxas, Culotes e Braços;5.000,00;5.800,00
Abdominoplastia e Lipoaspiração de Abdome e Flancos;5.500,00;6.000,00
   + Pré-Axilas;5.500,00;6.000,00
   + FI Coxas;5.500,00;6.200,00
   + Culotes;5.500,00;6.200,00
   + Braços;5.500,00;6.300,00
   + Pré-Axilas e FI Coxas;5.500,00;6.200,00
   + Pré-Axilas e Culotes;5.500,00;6.200,00
   + Pré-Axilas e Braços;5.500,00;6.300,00
   + Pré-Axilas, FI Coxas e Culotes;5.500,00;6.300,00
   + Pré-Axilas, FI Coxas e Braços;5.500,00;6.300,00
   + Pré-Axilas, Culotes e Braços;5.500,00;6.300,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;5.500,00;6.300,00
   + FI Coxas e Culotes;5.500,00;6.300,00
   + FI Coxas e Braços;5.500,00;6.300,00
   + Culotes e Braços;5.500,00;6.300,00
   + FI Coxas, Culotes e Braços;5.500,00;6.300,00
Abdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;6.000,00;6.500,00
   + Pré-Axilas;6.000,00;6.500,00
   + FI Coxas;6.000,00;6.500,00
   + Culotes;6.000,00;6.500,00
   + Braços;6.000,00;6.500,00
   + Pré-Axilas e FI Coxas;6.000,00;6.500,00
   + Pré-Axilas e Culotes;6.000,00;6.500,00
   + Pré-Axilas e Braços;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas e Culotes;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas e Braços;6.000,00;6.500,00
   + Pré-Axilas, Culotes e Braços;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;6.000,00;6.500,00
   + FI Coxas e Culotes;6.000,00;6.500,00
   + FI Coxas e Braços;6.000,00;6.500,00
   + Culotes e Braços;6.000,00;6.500,00
   + FI Coxas, Culotes e Braços;6.000,00;6.500,00
Abdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;6.200,00;6.700,00
   + Pré-Axilas;6.200,00;6.700,00
   + FI Coxas;6.200,00;6.700,00
   + Culotes;6.200,00;6.700,00
   + Braços;6.200,00;6.700,00
   + Pré-Axilas e FI Coxas;6.200,00;6.700,00
   + Pré-Axilas e Culotes;6.200,00;6.700,00
   + Pré-Axilas e Braços;6.200,00;6.700,00
   + Pré-Axilas, FI Coxas e Culotes;6.200,00;6.700,00
   + Pré-Axilas, FI Coxas e Braços;6.200,00;6.700,00
   + Pré-Axilas, Culotes e Braços;6.200,00;6.700,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;6.200,00;6.700,00
   + FI Coxas e Culotes;6.200,00;6.700,00
   + FI Coxas e Braços;6.200,00;6.700,00
   + Culotes e Braços;6.200,00;6.700,00
   + FI Coxas, Culotes e Braços;6.200,00;6.700,00
Flancoplastia e Lipoaspiração de Flancos;3.000,00;3.500,00
Cruroplastia;3.400,00;3.900,00
Braquioplastia;3.500,00;4.000,00
Ninfoplastia;1.800,00;-
  + Lipoenxertia de Grandes Lábios;2.300,00;-
Tratamento Cirúrgico de Cicatriz Pequena com Anestesia Local;800,00;-
Tratamento Cirúrgico de Cicatriz Média com Anestesia Local;1.000,00;-
Tratamento Cirúrgico de Cicatriz Média com Sedação;1.800,00;-
Tratamento Cirúrgico de Cicatriz Grande com Sedação;1.800,00;-
Blefaroplastia Superior com Anestesia Local;1.500,00;-
Blefaroplastia Superior com Sedação;2.300,00;-
Blefaroplastia Inferior com Sedação;2.300,00;-
Blefaroplastia Superior e Inferior;3.300,00;-
Otoplastia;2.900,00;3.400,00
